WL	Laser	PS8	PS11	PS15	PS13	TS1	TS6	NS11	ZhZS13	SZS24	UFS5	FS6	FS7	OS6	SS5
0	0	1.9	3.3	2.1	2	2.1	2.25	3.1	2	2	2.9	2.2	2.2	2	1.9
690	2125	0.05	0.061	0.08	0.68	0.28	0.119	1.5	1.7	0.082	0.155	1.95	3.6	0.019	0.58
700	4875	0.045	0.033	0.046	0.64	0.27	0.114	1.43	1.7	0.094	0.11	1.28	2.3	0.02	0.46
710	7500	0.04	0.021	0.035	0.6	0.24	0.112	1.37	1.65	0.106	0.096	0.77	1.42	0.02	0.41
720	9125	0.037	0.015	0.025	0.55	0.22	0.114	1.34	1.6	0.116	0.102	0.43	0.78	0.021	0.38
730	10125	0.034	0.012	0.021	0.51	0.2	0.117	1.31	1.6	0.135	0.113	0.24	0.44	0.021	0.38
740	10375	0.032	0.012	0.021	0.48	0.18	0.119	1.28	1.55	0.145	0.132	0.13	0.23	0.022	0.38
750	11375	0.029	0.013	0.021	0.44	0.175	0.125	1.26	1.55	0.16	0.16	0.067	0.1	0.022	0.37
760	11750	0.027	0.014	0.026	0.4	0.16	0.131	1.24	1.55	0.18	0.185	0.036	0.053	0.023	0.38
770	12125	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0
780	13375	0.023	0.016	0.029	0.32	0.13	0.14	1.21	1.55	0.22	0.24	0.014	0.02	0.025	0.39
790	15000	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0
800	15875	0.02	0.019	0.035	0.25	0.12	0.149	1.19	1.5	0.25	0.28	0.011	0.016	0.027	0.4
810	15750	0	0	0	0	0	0	0	0	0	0	0	0	0	0
820	16250	0.018	0.023	0.04	0.2	0.113	0.155	1.18	1.5	0.29	0.32	0.012	0.018	0.028	0.4
830	16000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
840	15000	0.016	0.028	0.044	0.15	0.1	0.165	1.18	1.5	0.34	0.34	0.014	0.022	0.029	0.41
850	14375	0	0	0	0	0	0	0	0	0	0	0	0	0	0
860	13250	0.014	0.033	0.049	0.12	0.94	0.17	1.18	1.48	0.39	0.36	0.017	0.028	0.03	0.41
870	12250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
880	11250	0.013	0.039	0.053	0.087	0.09	0.18	1.2	1.45	0.44	0.36	0.02	0.035	0.03	0.41
890	10625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900	9375	0.012	0.045	0.056	0.065	0.086	0.185	1.21	1.4	0.49	0.36	0.024	0.042	0.03	0.4
910	7875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
920	6500	0.01	0.05	0.059	0.048	0.08	0.195	1.24	1.35	0.54	0.35	0.029	0.052	0.03	0.39
930	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
940	3750	0.009	0.054	0.063	0.035	0.075	0.195	1.27	1.3	0.59	0.33	0.035	0.063	0.03	0.39
950	1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
